City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nova sintra,14.8667,-24.7167,25.5,77,45,3.78,CV,1723137279
1,talnakh,69.4865,88.3972,11.62,61,5,4.84,RU,1723137280
2,bredasdorp,-34.5322,20.0403,11.71,79,23,3.51,ZA,1723137282
3,papatowai,-46.5619,169.4708,6.88,89,99,1.37,NZ,1723137283
4,katsuren-haebaru,26.3369,127.8719,28.43,90,0,2.06,JP,1723137284
5,patterson,37.4716,-121.1297,31.95,16,0,2.07,US,1723137240
6,rongelap,11.1635,166.8941,28.24,74,97,7.38,MH,1723137286
7,bilibino,68.0546,166.4372,4.45,71,85,2.08,RU,1723137287
8,tiksi,71.6872,128.8694,6.32,89,100,5.04,RU,1723137288
9,ushuaia,-54.8,-68.3,3.96,94,88,2.96,AR,1723136977
10,kimbe,-5.5502,150.1429,23.74,93,97,2.56,PG,1723137292
11,bengkulu,-3.8004,102.2655,25.74,84,100,2.77,ID,1723137293
12,encheng,22.1839,112.3026,26.36,91,53,2.5,CN,1723137294
13,aasiaat,68.7098,-52.8699,3.52,91,99,3.43,GL,1723137295
14,arraial do cabo,-22.9661,-42.0278,33.98,45,0,3.6,BR,1723137296
15,bonthe,7.5264,-12.505,25.49,75,100,3.75,SL,1723137297
16,west island,-12.1568,96.8225,26.99,83,20,4.12,CC,1723137298
17,howard springs,-12.497,131.047,21.04,69,13,1.89,AU,1723137300
18,mount isa,-20.7333,139.5,16.87,31,0,4.63,AU,1723137301
19,puerto natales,-51.7236,-72.4875,11.25,62,40,1.03,CL,1723137302
20,cabo san lucas,22.8909,-109.9124,32.17,51,0,6.69,MX,1723137087
21,usogorsk,63.4106,48.6872,15.34,60,2,1.16,RU,1723137304
22,grytviken,-54.2811,-36.5092,-9.75,77,82,6.81,GS,1723137305
23,adamstown,-25.066,-130.1015,21.25,72,94,9.03,PN,1723137306
24,alofi,-19.0595,-169.9187,19.94,73,75,2.06,NU,1723137307
25,san vicente de canete,-13.0751,-76.3835,18.09,73,78,3.69,PE,1723137308
26,hawaiian paradise park,19.5933,-154.9731,21.73,94,40,3.09,US,1723137309
27,wailua homesteads,22.0669,-159.378,24.44,91,40,4.12,US,1723137310
28,banff,51.1762,-115.5698,13.21,71,1,1.03,CA,1723137311
29,ketchikan,55.3422,-131.6461,19.26,68,0,3.6,US,1723137312
30,auki,-8.7676,160.7034,24.35,94,100,0.93,SB,1723137314
31,namtsy,62.7161,129.6658,10.64,76,83,0.31,RU,1723137315
32,holualoa,19.6228,-155.9522,23.91,79,100,0.0,US,1723137018
33,port elizabeth,-33.918,25.5701,16.29,92,20,5.66,ZA,1723137317
34,busca,44.5181,7.4743,29.49,60,61,1.54,IT,1723137318
35,hastings,50.8552,0.5729,18.04,82,80,7.02,GB,1723137319
36,moroto,2.5345,34.6666,21.43,71,54,1.79,UG,1723137320
37,thompson,55.7435,-97.8558,17.09,51,40,5.14,CA,1723137321
38,partenit,44.578,34.3446,24.21,67,44,0.84,UA,1723137322
39,tura,25.5198,90.2201,24.03,98,99,3.47,IN,1723137323
40,blackmans bay,-43.0167,147.3167,9.29,78,100,1.34,AU,1723137325
41,port-aux-francais,-49.35,70.2167,1.35,71,99,11.55,TF,1723137327
42,albany,42.6001,-73.9662,22.12,78,95,4.9,US,1723137224
43,bodo,67.28,14.405,23.02,59,75,5.14,NO,1723137329
44,iqaluit,63.7506,-68.5145,12.61,58,100,5.81,CA,1723137330
45,edinburgh of the seven seas,-37.0676,-12.3116,11.53,89,100,15.28,SH,1723137332
